id,lat,lon,user,uid,version,changeset,timestamp
904781396,-33.6347797,-70.7228651,Julio_Costa_Zambelli,30854,1,5738045,2010-09-10T04:37:20Z
952303383,-33.6709201,-70.9368875,mauricio correa,1243098,2,34883175,2015-10-26T14:26:31Z
997728000,-33.4381963,-70.634721,tfnielson,4547543,5,42877764,2016-10-13T18:29:09Z
1037187050,-33.7482246,-70.743037,felipeedwards,337684,1,6647068,2010-12-13T13:27:44Z
1070846549,-33.1699953,-70.6371011,Julio_Costa_Zambelli,30854,1,6799343,2010-12-29T14:38:33Z
1119396659,-33.347384,-70.5424829,felipeedwards,337684,1,7078650,2011-01-24T22:14:20Z
1160666783,-33.7266899,-70.4791313,Julio_Costa_Zambelli,30854,1,7328718,2011-02-19T06:02:35Z
1175497480,-33.4671352,-70.533917,Julio_Costa_Zambelli,30854,2,43318383,2016-11-01T04:47:22Z
1175671228,-33.5194065,-70.6031716,amonares,250785,1,7403106,2011-02-26T21:26:53Z
1221523075,-33.4083996,-70.7122698,Speedy55,3775202,4,42160583,2016-09-14T22:40:22Z
1239296104,-33.6085526,-70.9115229,felipeedwards,337684,1,7817638,2011-04-09T22:30:58Z
1242281501,-33.5062889,-70.6227372,chesergio,416868,1,7845327,2011-04-12T18:35:29Z
1243856335,-33.4567531,-70.620848,chesergio,416868,1,7856580,2011-04-13T22:20:34Z
1244456700,-33.5883574,-70.6848619,Fede Borgnia,392023,1,7862028,2011-04-14T15:54:54Z
1244620281,-33.5579919,-70.7874147,Fede Borgnia,392023,1,7863085,2011-04-14T17:49:52Z
1244676270,-33.4246522,-70.5844828,chesergio,416868,1,7863585,2011-04-14T18:40:58Z
1244745211,-33.4384742,-70.5873857,chesergio,416868,1,7864049,2011-04-14T19:22:21Z
1244876001,-33.5047854,-70.7436659,Fede Borgnia,392023,1,7865304,2011-04-14T21:26:20Z
1245543318,-33.4948821,-70.734904,Fede Borgnia,392023,1,7869885,2011-04-15T14:01:02Z
1245631388,-33.5776587,-70.6388,Fede Borgnia,392023,1,7870518,2011-04-15T15:19:15Z
1245697544,-33.5774214,-70.6419892,Fede Borgnia,392023,1,7870896,2011-04-15T15:58:01Z
1245837842,-33.4878354,-70.6840269,Residentcl,1425983,2,33134391,2015-08-05T16:56:45Z
1246050208,-33.4701842,-70.6058886,chesergio,416868,1,7872591,2011-04-15T19:10:05Z
1246224279,-33.6294673,-70.5767563,Fede Borgnia,392023,1,7873504,2011-04-15T20:46:49Z
1246309221,-33.602545,-70.5678727,Fede Borgnia,392023,1,7873971,2011-04-15T21:40:08Z
1249900269,-33.4668261,-70.5616313,chesergio,416868,1,7897010,2011-04-18T13:31:29Z
1249975903,-33.4211907,-70.5591865,chesergio,416868,1,7897745,2011-04-18T14:48:04Z
1250026476,-33.4273733,-70.5670648,chesergio,416868,1,7898112,2011-04-18T15:33:58Z
1250141462,-33.5692095,-70.5647246,Fede Borgnia,392023,1,7898622,2011-04-18T16:35:17Z
1250220858,-33.5527777,-70.5670864,Fede Borgnia,392023,1,7899288,2011-04-18T17:42:19Z
1250265766,-33.4818311,-70.5388827,chesergio,416868,1,7899723,2011-04-18T18:24:46Z
1250338025,-33.5486818,-70.6161098,Fede Borgnia,392023,1,7900412,2011-04-18T19:27:26Z
1251241877,-33.4546725,-70.5372664,chesergio,416868,1,7907214,2011-04-19T14:45:30Z
1251348475,-33.5387138,-70.5606298,Fede Borgnia,392023,1,7908140,2011-04-19T16:36:46Z
1251470778,-33.5153094,-70.5608197,Fede Borgnia,392023,1,7908898,2011-04-19T18:00:10Z
1251714579,-33.508663,-70.6719542,Residentcl,1425983,2,27820128,2014-12-31T11:09:22Z
1251807233,-33.4935232,-70.6065839,Fede Borgnia,392023,1,7911406,2011-04-19T21:43:57Z
1252460605,-33.4848902,-70.6738505,Residentcl,1425983,2,27830324,2014-12-31T20:10:08Z
1252551699,-33.4639017,-70.6917005,Fede Borgnia,392023,1,7917411,2011-04-20T15:53:36Z
